cell_id,dataset,condition,realization,order,status,artifact_complete,missing_checkpoints,scientific_admission,endpoint_complete,invalid_reason,endpoint_complete_scope,primary_metrics_complete,full_validation_complete,sampled_drift_complete,unreceipted_checkpoints
0d4d946cb9ff28b7e6af3c4d,counterfact,v0_stable,1,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
9179614db32d3fd8b437475b,mquake,v0_stable,1,100,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
e146662ae0ab343921979246,mquake,v0_stable,1,101,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
c770960b77b2d9f6304f1a34,mquake,v0_stable,1,102,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
d49ef9c7980da822326bc6ac,mquake,v0_stable,1,103,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
eef5c3dc3fc8291d75199816,mquake,v0_stable,1,104,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
0417f598d89548e3200a3fe4,zsre,R1_learned_ff,2,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
12a9c0da62781d521da26cd5,zsre,R1_learned_ff,2,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
c2a67190edb39398491bd651,zsre,R1_learned_ff,2,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
58cc3599099d7ab60e5d1413,zsre,R1_learned_ff,2,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
4206e18c23b43bb312e045e6,zsre,R1_learned_ff,2,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
fa46e16c8436f7ea4a5c3f06,counterfact,R1_learned_ff,2,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
162686f6303fe986619d236d,counterfact,R1_learned_ff,2,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
029ecd260f3e085063714d3f,counterfact,R1_learned_ff,2,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
7197775fb7f97a465fd3310e,counterfact,R1_learned_ff,2,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
6de7e97b6cb167d048dc31ba,counterfact,R1_learned_ff,2,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
fcd702d12d5d6bfae824379b,mquake,R1_learned_ff,2,100,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
9a1d038b95f534b43185c7fc,mquake,R1_learned_ff,2,101,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
dfc9c9b480e482911c457e07,mquake,R1_learned_ff,2,102,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
34fce88c919bcae6410e4d94,mquake,R1_learned_ff,2,103,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
7a39ae192fb0b1038c651f64,mquake,R1_learned_ff,2,104,missing_cell,False,"[100,300]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
13465e8d0dc3824fced8e891,zsre,R1_nonlearned,2,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
24840672cf1682dd450fdcd2,zsre,R1_nonlearned,2,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
12a6e3e550a7939c6d79349d,zsre,R1_nonlearned,2,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
fa5b51891eb78dc707e6471f,zsre,R1_nonlearned,2,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
861810fbdd6ebe7502383382,zsre,R1_nonlearned,2,104,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
6ed2474713b3a311b4ec6b08,counterfact,R1_nonlearned,2,100,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
f939f211b98675ac7c2d951f,counterfact,R1_nonlearned,2,101,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
19b5e9b462930c6f50f2e2f6,counterfact,R1_nonlearned,2,102,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
b14576e3d752f467db2abf18,counterfact,R1_nonlearned,2,103,missing_cell,False,"[100,300,1000]",False,False,unavailable,full_validation AND sampled_drift only,False,False,unavailable,unavailable
