cell_id,dataset,condition,realization,order,checkpoint,metric,planned,scored,numerator,value,evaluated_value,status,status_counts
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,RET-GS,300,300,211,0.70333333,0.70333333,complete,"{""ok"":300}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,RET-GS,100,100,58,0.58,0.58,complete,"{""ok"":100}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,RET-GS,300,300,162,0.54,0.54,complete,"{""ok"":300}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,RET-ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,RET-GS,1000,1000,502,0.502,0.502,complete,"{""ok"":1000}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,RET-GS,100,100,65,0.65,0.65,complete,"{""ok"":100}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,RET-GS,300,300,173,0.57666667,0.57666667,complete,"{""ok"":300}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,RET-ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,RET-GS,1000,1000,502,0.502,0.502,complete,"{""ok"":1000}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,RET-GS,100,100,59,0.59,0.59,complete,"{""ok"":100}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,RET-GS,300,300,171,0.57,0.57,complete,"{""ok"":300}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,RET-ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,RET-GS,1000,1000,502,0.502,0.502,complete,"{""ok"":1000}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,RET-GS,100,100,64,0.64,0.64,complete,"{""ok"":100}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,RET-GS,300,300,174,0.58,0.58,complete,"{""ok"":300}"
