cell_id,dataset,condition,realization,order,block,charged_process_seconds,uncovered_driver_seconds,failures,retries,unknown_cost,parent_decision_present,finish
0b6ade77641a02c1c85574b0,counterfact,R1_nonlearned,0,100,1,2112.8332722400082,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/0b6ade77641a02c1c85574b0-67cf6ec259af4d919cf94dc9ff305ba8/finish.json"", ""sha256"": ""609b42cac6594f97ba3508f8ce08b6ea0b2d1006251abde26239c84cf3eab4fa"", ""wall_seconds"": 2112.8332722400082}"
ee67c592789829e7dd808ede,counterfact,R1_nonlearned,0,101,1,2146.5402942600194,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/ee67c592789829e7dd808ede-295a0690cf354cfdb01e17587b5c1294/finish.json"", ""sha256"": ""c87ebe154ad460751eeb554fabe306bdb431954c78d3c536b3e1fead1e5aee32"", ""wall_seconds"": 2146.5402942600194}"
8be432675ed4dc57f9108bd4,counterfact,R1_nonlearned,0,102,1,2115.8164543840103,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/8be432675ed4dc57f9108bd4-36f30b3bdc5343bcad476e950774a964/finish.json"", ""sha256"": ""3cb9dd21a0174389aca6331202679a7635762128f2ce6f46d0f43f3eb820c51d"", ""wall_seconds"": 2115.8164543840103}"
78928f2782d91d888ef24d52,counterfact,R1_nonlearned,0,103,1,2097.1111946359742,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/78928f2782d91d888ef24d52-fb0e32f7e562461e9ed9f25c18595909/finish.json"", ""sha256"": ""ecdf5050f6ab5869bc0923131b1885af22f6def3da820ab9e2f07bce359cfa8d"", ""wall_seconds"": 2097.1111946359742}"
de785feed05c9f4c2a9e9273,counterfact,R1_nonlearned,0,104,1,2130.758412986994,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/de785feed05c9f4c2a9e9273-431592731b5445cca5c2ca1bd7089767/finish.json"", ""sha256"": ""0b8fccf902f56fcc23b67661274085dd1ac876e15e056e2546831769a9dcbad1"", ""wall_seconds"": 2130.758412986994}"
de0b9612418e6d573ed77679,mquake,R1_nonlearned,0,100,1,1257.288399467012,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/de0b9612418e6d573ed77679-026f256e1437407187128f1311cd5338/finish.json"", ""sha256"": ""6a963167d3a3b006658268ed11ebc5eab4eaca1d93c59a0ba587b5d3a1000f26"", ""wall_seconds"": 1257.288399467012}"
be37e2a1ff4a079e56efe268,mquake,R1_nonlearned,0,101,1,1330.788392220973,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/be37e2a1ff4a079e56efe268-94ba029fd9a042b187450ff59ec7d0d6/finish.json"", ""sha256"": ""06c0d2373e084ef543771bc107d11a23a89a223f6166842c4e245cf8c002c575"", ""wall_seconds"": 1330.788392220973}"
1e6b766c4139230c18547234,mquake,R1_nonlearned,0,102,1,1360.1356812230079,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/1e6b766c4139230c18547234-135be65f6f9041d4a720d488c4f5115e/finish.json"", ""sha256"": ""b20ba169f4fb1a29f0ec596f767cb66ccfc4bec1187ded5479caa78cb8e9000b"", ""wall_seconds"": 1360.1356812230079}"
c0a54c5fbf1ce7776efc983e,mquake,R1_nonlearned,0,103,1,1356.4877093940158,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/c0a54c5fbf1ce7776efc983e-c2a3e7308f5c4bddaf5fd411404bcad9/finish.json"", ""sha256"": ""0268892bfd7419058d0dfbf979f22ef40dd99925bd3a193263788482ce279891"", ""wall_seconds"": 1356.4877093940158}"
7499c19b813dcada2c67ae39,mquake,R1_nonlearned,0,104,1,1351.962332502997,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/7499c19b813dcada2c67ae39-1bb92e0b6c4b4208b0c60ffc2b18f93b/finish.json"", ""sha256"": ""7f5de46cc3ee5565e9ee80163c818058b1e3acee72cd5c73b423cf891e827761"", ""wall_seconds"": 1351.962332502997}"
39c7fd4929721e8dcba56b94,zsre,v0_stable,0,100,1,4771.158968878968,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/39c7fd4929721e8dcba56b94-1ae8fee2aabf461291d453b3d814a296/finish.json"", ""sha256"": ""ea6b29d0b912a231ac72f21a41ef7ffdca246a4f073d96d1c21535360e61446a"", ""wall_seconds"": 4771.158968878968}"
b887b1046cd563d990765e01,zsre,v0_stable,0,101,1,4673.16600091703,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/b887b1046cd563d990765e01-450a182ecfb14131a8827f842e357fe8/finish.json"", ""sha256"": ""a7e1e02fa7c92265aa2924f7d5b57e81a97667856dc7eab195e2ca66a7ab0280"", ""wall_seconds"": 4673.16600091703}"
435235a6719279d1cc87ad66,zsre,v0_stable,0,102,1,4751.59771698399,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/435235a6719279d1cc87ad66-d57fc802087844d49d4eab2c3bc0e958/finish.json"", ""sha256"": ""8064a8c5c3f936d8342b6e4c99a90dd9b677d6fecf0440b2f2f0c50e41922918"", ""wall_seconds"": 4751.59771698399}"
aaed1cf9e8ce7cf1cf3749fa,zsre,v0_stable,0,103,1,4698.424225206021,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/aaed1cf9e8ce7cf1cf3749fa-ebb3069542254faa87883ea1d534838d/finish.json"", ""sha256"": ""52e19ebe690f69720133a1c3409b79f46f6cdbb20558ecfa4b9265561782404b"", ""wall_seconds"": 4698.424225206021}"
92a5ef6855124ffc5a8d6163,zsre,v0_stable,0,104,1,4640.77615016402,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/92a5ef6855124ffc5a8d6163-38d651cbf9d04a62a19426846218c065/finish.json"", ""sha256"": ""b7ac0206b7f8dd28944d135a5eb555bf7076eaedb75f09a103404191e81e5c4d"", ""wall_seconds"": 4640.77615016402}"
baa601113af675024e73bc30,counterfact,v0_stable,0,100,1,9659.293662312964,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/baa601113af675024e73bc30-b679066e0ef7493ebd8a8a090e47fda2/finish.json"", ""sha256"": ""6403753d48976259ceef98ef461c4117e16c3ee17302f8041a79db656d50b873"", ""wall_seconds"": 9659.293662312964}"
b6b271f3383f85fb19e49836,counterfact,v0_stable,0,101,1,9659.39075988403,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/b6b271f3383f85fb19e49836-353b1d2954164e4f9450ae3d0ac85de6/finish.json"", ""sha256"": ""ab6356db1e77b4ab2d6177f8e7cdf3f27447255f71960fb03dc490f31087c36e"", ""wall_seconds"": 9659.39075988403}"
6c0124a2d35b8b4bf8d2a321,counterfact,v0_stable,0,102,1,9656.999597114976,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/6c0124a2d35b8b4bf8d2a321-791d287a3ba24d64953adc856a80c782/finish.json"", ""sha256"": ""fa62b719cd577cd9552a0e6997048339d641b38fa50c8de7795ef8ec56dca8b9"", ""wall_seconds"": 9656.999597114976}"
37c2ba2be995719ac8972cf1,counterfact,v0_stable,0,103,1,9671.408299181028,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/37c2ba2be995719ac8972cf1-c7ec381933e34f84b84d7b68f168bb2d/finish.json"", ""sha256"": ""979656d326b20d0ee109b4fb76fba8f94f914d61b1010f914327f8bab21d7d2c"", ""wall_seconds"": 9671.408299181028}"
d93ed5de9d4401cb3345c7bd,counterfact,v0_stable,0,104,1,9773.60759610997,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/d93ed5de9d4401cb3345c7bd-df6ed340303b40389b286461e313d766/finish.json"", ""sha256"": ""b503102d5bbf30d35f196b25a15b3972585a55e4a4645a0241cdd0c0faad435d"", ""wall_seconds"": 9773.60759610997}"
c2f9d3102987f746f4f31b8d,mquake,v0_stable,0,100,1,2864.8862354740268,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/c2f9d3102987f746f4f31b8d-b721a02da7d441f7bd384beaf0ab484d/finish.json"", ""sha256"": ""f41b72e1b757d1060b4786e936496c20846beaff549fe782ff292dd596a5a98a"", ""wall_seconds"": 2864.8862354740268}"
a23ae9063b37c21cfe657d47,mquake,v0_stable,0,101,1,2943.897409202007,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/a23ae9063b37c21cfe657d47-ee513408a5bd461e9218dbf261dc6fc6/finish.json"", ""sha256"": ""2d50964f36f35a71a5d61101592b016dc7cfd4dee465eaa39aecee757aa7f06b"", ""wall_seconds"": 2943.897409202007}"
5a6f61e06de0bca53b4a7377,mquake,v0_stable,0,102,1,2945.1244284290005,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/5a6f61e06de0bca53b4a7377-4bc79270c74447c492b17f0f689d0417/finish.json"", ""sha256"": ""879280ff6f64d95df64558cd4d6cd62045047d98d5de1798795d5e87b05beeed"", ""wall_seconds"": 2945.1244284290005}"
03426d6e61fb6b41145c5d8e,mquake,v0_stable,0,103,1,2946.7571694529615,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/03426d6e61fb6b41145c5d8e-4e35dc028fd3447183d8ff7d92d2a572/finish.json"", ""sha256"": ""1bb56077bd44bf34ff5d3d369d4af49741e6e6dd98b00a5cfc8389e9912f21a9"", ""wall_seconds"": 2946.7571694529615}"
19f5d8535235334ffe1595e8,mquake,v0_stable,0,104,1,2728.8192814950016,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/19f5d8535235334ffe1595e8-b95bb556fc9e4b37b996636692d07521/finish.json"", ""sha256"": ""0eff759436851b0a022620844973e655c37fbac7f5f3bdf8533f3913b083780d"", ""wall_seconds"": 2728.8192814950016}"
6b089d284c00a4418a1d3af4,zsre,R1_learned_ff,1,100,2,4442.5838960580295,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/6b089d284c00a4418a1d3af4-b97d224bfd784306ba3c8f9abb83266f/finish.json"", ""sha256"": ""61fc38c210879db0bc8bc7655f5e3d8f7f220fac54fbb86206142a05bdfb4ec6"", ""wall_seconds"": 4442.5838960580295}"
47dac9d968ffe594faac0a14,zsre,R1_learned_ff,1,101,2,4433.960652403999,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/47dac9d968ffe594faac0a14-51ecaf863e2742a2ab4af431d4b47dc8/finish.json"", ""sha256"": ""67d0b49600003bbfb22455a50c266637552848d37878c970c61d43da6ef94f03"", ""wall_seconds"": 4433.960652403999}"
4eda9e6155b2755508e13091,zsre,R1_learned_ff,1,102,2,4408.98908301699,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/4eda9e6155b2755508e13091-9eee327a88a84f44a018896bdcc58f84/finish.json"", ""sha256"": ""7a2b7e90aea7e46a460d4d31a32c32bb95b3b1c2a19134837c1efa797285a592"", ""wall_seconds"": 4408.98908301699}"
ab774e229a65298fdc117c96,zsre,R1_learned_ff,1,103,2,4390.066687734972,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/ab774e229a65298fdc117c96-51f4633483bc44b48ab4cfef0bf8e461/finish.json"", ""sha256"": ""2ffd8604c0dcadeb1665979cff1a1217e8ffc75d8f8254cad3562462c9d52afd"", ""wall_seconds"": 4390.066687734972}"
b4e7dc307a1f895a8fec997a,zsre,R1_learned_ff,1,104,2,4358.226270341955,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/b4e7dc307a1f895a8fec997a-a11ff0d11f194f27b235434db987de90/finish.json"", ""sha256"": ""1c2c879209fc8f109b028dbc8465cd295da90a3ee24226c0097ac475abedd85f"", ""wall_seconds"": 4358.226270341955}"
826332f387bd487a045d412f,counterfact,R1_learned_ff,1,100,2,4277.150897382991,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/826332f387bd487a045d412f-27eb6723c83547f9b741b705ba2d9fca/finish.json"", ""sha256"": ""85242822742b0aaa79c242ce8c13ce03a61bd554e3c3efcf9374ceb9d6cce2cf"", ""wall_seconds"": 4277.150897382991}"
14d45f0e87126104057518af,counterfact,R1_learned_ff,1,101,2,4304.596489631978,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/14d45f0e87126104057518af-75398fc00df844d3ab9824d1f0ed0580/finish.json"", ""sha256"": ""964d50b7522f55ae46f60f39de9be9101d0c6de34a1f4a1db5652547b2395fa6"", ""wall_seconds"": 4304.596489631978}"
960d0adeb6cacfcfce93d546,counterfact,R1_learned_ff,1,102,2,4289.75573797297,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/960d0adeb6cacfcfce93d546-688ac64a1a3a4e59998971dec721bfc0/finish.json"", ""sha256"": ""e34cf91682b30ed8303cd6d9aac86aa9810da556c78811527159df9b6a62621f"", ""wall_seconds"": 4289.75573797297}"
6840a40e6e5c90bdc40b89b0,counterfact,R1_learned_ff,1,103,2,4249.016820898978,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/6840a40e6e5c90bdc40b89b0-47c5d26eed8145daa28bc13f90cebe2b/finish.json"", ""sha256"": ""86fb023db4708af7bbe0a94e28461a3e7125b78ac52f4d0057c59f95dc093e20"", ""wall_seconds"": 4249.016820898978}"
42ba32e4f07423bee03296b3,counterfact,R1_learned_ff,1,104,2,4291.175568989012,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/42ba32e4f07423bee03296b3-eeadfa60656d49209d7496b6c21e9270/finish.json"", ""sha256"": ""12fb6a0c1a08ed3c7c6a3c49d0a5dab5a8d11a92377094e429a61e530d939313"", ""wall_seconds"": 4291.175568989012}"
19964c4e7f737707baad94a5,mquake,R1_learned_ff,1,100,2,2121.6225143889897,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/19964c4e7f737707baad94a5-04e29650a97c480781d12cc9a0803560/finish.json"", ""sha256"": ""64f8609b1a67e401fa6ad55dcea8f5b29e9f780c51cc92d6bca6306d7df48697"", ""wall_seconds"": 2121.6225143889897}"
40ec11c9694b4265a013c682,mquake,R1_learned_ff,1,101,2,2124.2211152070086,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/40ec11c9694b4265a013c682-cf4be43023ee4717831655fb65b4097a/finish.json"", ""sha256"": ""e265d2bf9ce79c365d5834b6570bc2066581dc8acd10dcc4871506bec774f9b7"", ""wall_seconds"": 2124.2211152070086}"
f0642100f6eb9cd77e92f439,mquake,R1_learned_ff,1,102,2,2115.1018790139933,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/f0642100f6eb9cd77e92f439-f4de025571e74369b0ae8e90ba726fef/finish.json"", ""sha256"": ""1377da9985002e97ac96efd57e5b3033d4172a758cdf689aab6c2dfea6cc231c"", ""wall_seconds"": 2115.1018790139933}"
b7ff3139c3f3eeb3ff7e9c80,mquake,R1_learned_ff,1,103,2,2112.104868299968,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/b7ff3139c3f3eeb3ff7e9c80-678478b092b74ebf8749125097cb06ea/finish.json"", ""sha256"": ""0f340da0a3965218350943b8af4d02df51b4d6b2f9a9400ee751104c7583d6ce"", ""wall_seconds"": 2112.104868299968}"
1833a410c9e8704f6a379114,mquake,R1_learned_ff,1,104,2,2123.349840848008,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/1833a410c9e8704f6a379114-167fbdf6c423486e9b3c77403003b32f/finish.json"", ""sha256"": ""8380b6b7a51fa3176ca8857501c65d6b40d391865e3c0948df4d6fcaa72aec2e"", ""wall_seconds"": 2123.349840848008}"
82606602ae475e73eb4401f9,zsre,R1_nonlearned,1,100,2,2132.248937971017,0,0,0,False,True,"{""path"": ""/home/derp/cap/pc_cap/logs/R1/final_queue/82606602ae475e73eb4401f9-57d7176a7c254ce0bad39762d73c4685/finish.json"", ""sha256"": ""332f95bdef3cb8167335ad7ea63096fac5f26571c2c3941df68842ad9cfe757a"", ""wall_seconds"": 2132.248937971017}"
